No.	Name	Count
1	Masashi Kishimoto	0
2	Dalai Lama	0
3	Stephen Colbert	1
4	Janet Thomas	11
5	Lifehacker	39
6	Jordan Heinrichs	44
7	John Oliver	55
8	The Daily Show	57
9	Kailie Reece	58
10	Amazon	58
11	Last Week Tonight	67
12	LilyMotoko	72
13	Sumerian Records	79
14	Twitter	94
15	Old Dominion	97
16	AnimeSeriesnFacts	102
17	CNN Breaking News	112
18	daniel tosh	119
19	Anime Media Center	141
20	Konami	154
21	Mike Tully	175
22	Mirishikiari 	200
23	Chris Cooley	224
24	LIFE	231
25	VIZ Media	277
26	Rockstar Games	288
27	久保 帯人	295
28	Robert Griffin III	299
29	Jason Ellis	337
30	Mike 	343
31	Nuclear Blast USA	343
32	Atlantic Records	362
33	Yokoshima	371
34	Amazon Video Games	390
35	Anime Expo	416
36	ESPN	422
37	GameSpot	429
38	Ubisoft	499
39	samhain 	514
40	WAVY_News	545
41	FUNimation	556
42	Crunchyroll	561
43	PlayStation	632
44	Darkrose kurosaki	633
45	Shonen Jump	659
46	Electronic Arts	751
47	London Fletcher	865
48	one and only	880
49	The New York Times	982
50	CNN	997
51	Reuters Top News	1042
52	EA SPORTS	1085
53	Manga Entertainment	1316
54	13News Now	1481
55	Washington Redskins	1562
56	Redskins Facts	1574
57	NFL	1731
58	ReelvisualProduction	1841
59	Amazon Music	2100
60	Relapse Records	2126
61	Metal Blade Records	2503
62	Social In Norfolk	3044
63	HoneyFeed	4425
64	E3	4559
65	Iceberg Luffy	4713
66	Deb Aoki	5204
67	FTR: For The Realm	5976
68	Victory Records	6441
69	LaSalle Blanks13News	8930
70	Century Media	12455
71	Everything Anime	15553
72	Forbes Tech News	16394
73	Anime Planet: sothis	23374
